tanggal,tn,tx,tavg,rh_avg,rr,ss,ddd_x,ddd_car,ff_x,ff_avg
2020-12-20,23.2,30.4,26.3,86,0.0,3.1,310,C ,6,1
2020-12-21,23.6,31.4,27.2,81,,1.3,300,C ,3,1
2020-12-22,23.4,29.4,26.2,87,,2.4,30,C ,5,1
2020-12-23,23.6,32.3,27.6,77,1.9,0.0,290,C ,5,2
2020-12-24,,31.8,26.6,84,12.7,3.8,220,W ,7,2
2020-12-25,23.6,31.4,26.8,84,42.7,0.4,250,C ,4,2
2020-12-26,23.0,28.2,25.2,94,88.7,4.3,260,C ,3,1
2020-12-27,23.2,31.4,26.7,86,4.0,0.0,30,C ,6,1
2020-12-28,23.1,32.6,28.0,80,,5.2,10,C ,4,1
2020-12-29,23.2,30.4,26.3,85,0.0,4.7,300,C ,5,1
2020-12-30,23.6,31.4,27.1,78,10.4,,320,C ,5,1
2020-12-31,22.2,31.0,26.8,82,0.0,2.5,280,C ,5,1
2021-01-01,22.2,31.0,26.4,84,1.6,2.5,280,C ,3,1
2021-01-02,23.6,28.8,26.2,84,19.8,2.3,290,W ,6,2
2021-01-03,23.7,30.0,24.4,94,5.6,1.0,300,C ,5,1
2021-01-04,22.8,33.2,26.8,82,1.2,0.0,40,C ,5,2
